Car_Name,Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Selling_Price
Kia Seltos,2010,6.64,88362,CNG,Individual,Manual,2,3.34
Maruti Swift,2009,12.35,54344,Diesel,Individual,Manual,3,2.19
Toyota Corolla,2012,13.03,10224,CNG,Individual,Manual,2,7.09
Honda City,2009,8.46,51520,Diesel,Dealer,Manual,1,3.03
Maruti Alto,2008,17.31,100653,Petrol,Individual,Automatic,0,4.52
Mahindra XUV500,2009,19.58,196981,Diesel,Individual,Automatic,1,7.8
Maruti Swift,2016,6.41,159389,Petrol,Individual,Automatic,2,1.83
Hyundai i20,2023,9.35,153762,Petrol,Dealer,Automatic,1,6.2
Hyundai i20,2020,4.96,25396,Petrol,Individual,Automatic,1,2.98
Hyundai i20,2015,10.32,74523,Petrol,Dealer,Manual,2,3.42
Hyundai Verna,2005,3.34,119876,CNG,Individual,Manual,3,0.86
Maruti Swift,2016,12.06,31588,Diesel,Dealer,Manual,3,3.16
Honda City,2014,2.85,73453,Petrol,Dealer,Automatic,1,1.66
Honda City,2007,12.07,29406,Diesel,Individual,Manual,3,5.12
Mahindra XUV500,2018,5.25,31544,Diesel,Dealer,Manual,3,3.09
Tata Nexon,2013,14.06,82961,Petrol,Dealer,Manual,3,6.06
Maruti Swift,2009,3.45,6000,Diesel,Dealer,Automatic,3,0.8
Tata Nexon,2011,5.49,81496,Petrol,Individual,Manual,2,2.58
Maruti Alto,2020,18.16,74469,Petrol,Individual,Manual,2,13.28
Kia Seltos,2010,10.3,74021,Diesel,Individual,Automatic,1,4.79
Hyundai Verna,2006,5.14,187575,CNG,Dealer,Manual,2,1.86
Hyundai i20,2023,6.48,20986,Diesel,Individual,Automatic,1,3.68
Honda City,2017,18.3,192250,Petrol,Dealer,Manual,3,5.84
Honda City,2011,16.65,38078,Petrol,Individual,Manual,3,4.28
Ford Figo,2013,8.1,195605,Petrol,Dealer,Automatic,3,3.43
Kia Seltos,2021,10.52,8241,CNG,Individual,Manual,3,3.73
Ford Figo,2023,12.7,31267,Petrol,Dealer,Automatic,2,10.18
Honda City,2017,13.96,154952,CNG,Individual,Manual,1,5.13
Maruti Alto,2017,3.18,91899,CNG,Dealer,Manual,3,2.14
Toyota Corolla,2005,8.41,84444,Diesel,Individual,Automatic,0,3.19
Hyundai i20,2009,7.76,199962,Diesel,Individual,Automatic,3,2.83
Honda City,2011,10.23,111737,CNG,Individual,Automatic,0,3.8
Toyota Corolla,2007,7.94,137853,Diesel,Dealer,Manual,1,1.62
Tata Nexon,2006,6.87,124655,Petrol,Individual,Manual,2,1.65
Tata Nexon,2021,9.45,37472,CNG,Dealer,Manual,2,5.1
Ford Figo,2010,19.31,129408,CNG,Individual,Automatic,1,8.99
Toyota Corolla,2007,7.49,106335,Petrol,Dealer,Manual,1,2.53
Kia Seltos,2013,13.9,139553,Petrol,Dealer,Automatic,1,6.41
Tata Nexon,2005,6.42,164473,Diesel,Individual,Automatic,3,2.24
Maruti Alto,2013,6.32,84205,CNG,Individual,Manual,0,2.57
Ford Figo,2022,13.83,164658,Diesel,Individual,Manual,3,4.4
Toyota Corolla,2015,17.58,73458,CNG,Individual,Manual,1,7.83
Ford Figo,2006,16.6,162295,Diesel,Individual,Manual,0,5.29
Toyota Corolla,2013,18.37,111063,Diesel,Dealer,Manual,2,9.06
Mahindra XUV500,2022,13.67,129711,CNG,Individual,Automatic,1,10.34
Toyota Corolla,2010,7.64,128412,Petrol,Individual,Manual,2,3.07
Tata Nexon,2016,6.41,85500,Diesel,Individual,Automatic,2,3.17
Hyundai Verna,2008,10.73,171303,CNG,Dealer,Automatic,1,3.35
Kia Seltos,2021,7.72,19172,Petrol,Dealer,Manual,2,3.83
Honda City,2019,5.01,192608,Petrol,Dealer,Automatic,2,2.89
Honda City,2015,13.6,6235,Diesel,Individual,Manual,1,6.41
Tata Nexon,2020,16.24,28079,Petrol,Individual,Automatic,3,7.97
Mahindra XUV500,2017,2.58,144927,Petrol,Individual,Manual,2,1.54
Hyundai i20,2011,2.81,6081,CNG,Dealer,Manual,2,0.84
Tata Nexon,2017,11.31,85246,Petrol,Dealer,Manual,2,7.77
Toyota Corolla,2021,12.94,93561,Diesel,Dealer,Automatic,3,6.07
Maruti Swift,2010,19.09,110746,Petrol,Dealer,Manual,1,4.72
Kia Seltos,2023,11.33,37286,Diesel,Dealer,Automatic,2,8.38
Hyundai Verna,2006,12.89,17572,CNG,Dealer,Manual,0,4.23
Maruti Swift,2019,9.15,148466,Diesel,Individual,Manual,1,5.58
Hyundai i20,2014,9.87,31471,CNG,Individual,Manual,3,5.52
Toyota Corolla,2021,15.08,35863,Diesel,Dealer,Manual,3,5.75
Tata Nexon,2013,17.05,57867,Diesel,Individual,Automatic,1,3.7
Hyundai i20,2011,14.54,131003,Diesel,Dealer,Manual,0,6.24
Tata Nexon,2023,14.21,44097,Petrol,Dealer,Manual,2,9.46
Maruti Alto,2014,7.12,18128,Petrol,Dealer,Manual,2,2.57
Tata Nexon,2018,15.42,29903,Petrol,Dealer,Manual,1,6.29
Tata Nexon,2013,17.87,29366,Diesel,Individual,Manual,0,6.47
Maruti Swift,2013,17.12,185853,Diesel,Individual,Manual,0,4.35
Kia Seltos,2010,4.31,159861,Diesel,Individual,Manual,3,1.92
Tata Nexon,2005,17.6,195651,Petrol,Individual,Automatic,0,6.3
Kia Seltos,2006,3.61,176697,Diesel,Dealer,Manual,2,1.02
Mahindra XUV500,2008,10.07,195487,Petrol,Individual,Automatic,3,2.04
Tata Nexon,2006,2.7,46137,CNG,Individual,Automatic,1,0.5
Hyundai i20,2015,6.72,77917,Petrol,Dealer,Automatic,3,3.88
Tata Nexon,2019,10.27,155217,Diesel,Dealer,Automatic,3,4.27
Mahindra XUV500,2005,4.3,113092,Petrol,Dealer,Manual,2,1.54
Maruti Alto,2011,13.96,124592,Diesel,Individual,Manual,1,6.87
Toyota Corolla,2022,15.93,162273,Diesel,Individual,Automatic,0,5.37
Tata Nexon,2005,8.47,171110,Diesel,Individual,Manual,0,3.05
Toyota Corolla,2009,16.88,199644,CNG,Individual,Manual,2,6.19
Hyundai Verna,2008,18.78,107995,Petrol,Individual,Manual,2,3.56
Mahindra XUV500,2006,18.72,181197,CNG,Dealer,Automatic,3,5.99
Honda City,2009,19.37,6137,CNG,Dealer,Automatic,3,9.1
Kia Seltos,2023,5.54,38654,Petrol,Individual,Automatic,3,2.96
Mahindra XUV500,2012,7.29,94878,Diesel,Individual,Manual,1,2.56
Ford Figo,2014,17.25,148604,Diesel,Dealer,Manual,1,8.14
Mahindra XUV500,2016,18.62,39779,CNG,Dealer,Automatic,0,10.7
Mahindra XUV500,2020,12.7,179891,CNG,Individual,Automatic,3,8.77
Honda City,2008,2.94,43096,Petrol,Dealer,Manual,2,1.15
Tata Nexon,2014,14.46,43385,Petrol,Individual,Manual,0,5.21
Ford Figo,2008,13.28,182085,CNG,Dealer,Automatic,1,4.19
Toyota Corolla,2006,18.71,106595,Diesel,Individual,Manual,0,6.42
Honda City,2019,17.02,171143,CNG,Individual,Manual,1,6.89
Mahindra XUV500,2007,5.77,50559,CNG,Dealer,Automatic,0,1.58
Honda City,2013,4.78,158088,Diesel,Dealer,Automatic,3,2.32
Mahindra XUV500,2006,5.19,89575,CNG,Dealer,Automatic,3,1.85
Honda City,2016,3.78,190514,Diesel,Dealer,Manual,0,2.22
Maruti Alto,2018,12.0,110753,Petrol,Individual,Manual,1,6.87
Tata Nexon,2016,7.64,167078,CNG,Individual,Manual,0,4.07
Hyundai i20,2012,18.33,165878,CNG,Dealer,Manual,2,6.2
Ford Figo,2017,6.99,194785,Diesel,Dealer,Automatic,3,3.27
Toyota Corolla,2011,8.11,26586,Petrol,Dealer,Manual,0,2.11
Maruti Alto,2018,17.12,58891,CNG,Individual,Manual,1,4.41
Hyundai Verna,2006,4.03,19226,Petrol,Individual,Manual,1,1.57
Mahindra XUV500,2017,10.39,111023,Diesel,Individual,Manual,3,5.78
Hyundai i20,2005,13.72,167096,Petrol,Dealer,Manual,2,5.05
Maruti Swift,2014,16.27,83997,CNG,Dealer,Automatic,3,6.02
Maruti Alto,2020,5.24,62636,Petrol,Individual,Automatic,1,2.21
Hyundai Verna,2005,12.19,150508,Petrol,Dealer,Manual,0,3.37
Mahindra XUV500,2022,12.08,27315,Diesel,Dealer,Automatic,1,6.22
Kia Seltos,2009,5.32,62878,CNG,Individual,Manual,0,1.2
Toyota Corolla,2006,17.4,148878,Diesel,Dealer,Automatic,0,3.61
Hyundai i20,2023,11.03,91730,Diesel,Dealer,Manual,0,5.04
Hyundai Verna,2011,8.06,123134,Diesel,Individual,Manual,2,3.86
Maruti Alto,2010,2.58,69533,Petrol,Individual,Automatic,2,0.57
Hyundai i20,2020,10.6,99041,Diesel,Individual,Manual,1,6.41
Maruti Swift,2013,17.53,41700,CNG,Dealer,Automatic,0,8.65
Mahindra XUV500,2021,13.55,157539,CNG,Individual,Manual,0,7.78
Mahindra XUV500,2022,10.76,43963,Diesel,Individual,Manual,2,3.85
Honda City,2021,4.08,100385,CNG,Dealer,Manual,1,2.8
Tata Nexon,2019,5.29,153467,CNG,Dealer,Automatic,2,1.46
Tata Nexon,2012,3.6,101845,Petrol,Dealer,Manual,2,1.23
Kia Seltos,2006,3.2,175006,Diesel,Dealer,Automatic,2,0.95
Toyota Corolla,2010,9.09,104226,Diesel,Dealer,Automatic,3,4.66
Toyota Corolla,2021,9.6,95448,Diesel,Individual,Manual,1,4.93
Hyundai i20,2007,11.5,78612,Petrol,Dealer,Manual,1,2.92
Kia Seltos,2012,9.76,91566,CNG,Dealer,Automatic,3,3.67
Honda City,2010,13.83,112714,Petrol,Dealer,Manual,1,5.17
Honda City,2009,13.52,15273,CNG,Dealer,Manual,1,3.38
Kia Seltos,2021,19.27,162117,CNG,Dealer,Automatic,0,7.54
Mahindra XUV500,2020,17.68,49713,Petrol,Individual,Manual,1,10.49
Honda City,2013,5.44,184723,Diesel,Individual,Manual,1,1.92
Kia Seltos,2008,2.79,142025,CNG,Individual,Manual,0,0.59
Kia Seltos,2006,17.86,144311,CNG,Dealer,Manual,3,5.72
Mahindra XUV500,2022,16.98,182880,CNG,Individual,Automatic,2,13.17
Tata Nexon,2018,6.52,131385,Diesel,Individual,Manual,3,2.03
Maruti Swift,2012,18.43,26972,Diesel,Individual,Automatic,1,3.58
Hyundai i20,2023,11.64,141252,Petrol,Individual,Manual,2,6.16
Hyundai Verna,2009,9.96,158451,Diesel,Individual,Automatic,2,3.65
Ford Figo,2011,9.73,151161,Diesel,Dealer,Automatic,3,2.68
Honda City,2023,8.53,189941,Diesel,Dealer,Manual,1,4.7
Maruti Swift,2008,6.25,110004,Diesel,Dealer,Manual,3,2.86
Maruti Alto,2007,16.91,128645,CNG,Individual,Manual,0,3.79
Honda City,2007,13.16,194921,Diesel,Individual,Automatic,0,5.59
Mahindra XUV500,2020,10.18,57876,CNG,Individual,Manual,0,6.9
Honda City,2021,14.72,166268,Petrol,Dealer,Automatic,1,9.28
Hyundai i20,2007,19.94,109709,Diesel,Individual,Automatic,1,5.97
Toyota Corolla,2007,12.12,195352,CNG,Individual,Automatic,2,2.59
Mahindra XUV500,2019,18.77,155708,Petrol,Individual,Manual,3,9.63
Kia Seltos,2007,11.31,94120,Petrol,Individual,Automatic,3,4.87
Hyundai i20,2020,15.97,94040,Diesel,Individual,Manual,3,5.2
Mahindra XUV500,2017,13.59,62771,CNG,Dealer,Automatic,3,9.38
Maruti Alto,2022,2.67,74035,Petrol,Individual,Manual,3,1.77
Ford Figo,2007,12.2,51788,Diesel,Individual,Automatic,1,5.0
Ford Figo,2010,19.07,184072,Petrol,Individual,Manual,1,8.2
Hyundai i20,2011,6.51,70456,CNG,Individual,Manual,0,1.48
Kia Seltos,2020,13.24,146944,Petrol,Individual,Automatic,2,6.94
Hyundai Verna,2013,11.09,138990,Diesel,Individual,Manual,1,2.47
Hyundai i20,2020,18.94,13536,CNG,Individual,Automatic,1,9.57
Maruti Alto,2021,10.55,185672,Petrol,Dealer,Manual,3,6.23
Kia Seltos,2016,13.22,73078,Petrol,Individual,Manual,2,5.86
Hyundai Verna,2015,8.9,135749,Diesel,Dealer,Automatic,2,3.37
Mahindra XUV500,2013,10.39,154791,Petrol,Dealer,Manual,2,5.45
Tata Nexon,2018,17.49,56396,Petrol,Dealer,Automatic,0,5.82
Kia Seltos,2009,19.92,170321,CNG,Individual,Automatic,2,4.94
Hyundai i20,2006,9.47,186021,Petrol,Dealer,Manual,2,2.55
Hyundai i20,2019,15.53,73096,Diesel,Individual,Automatic,2,4.12
Mahindra XUV500,2016,17.68,163748,Petrol,Dealer,Automatic,2,6.65
Honda City,2020,16.06,122160,Petrol,Individual,Automatic,3,9.6
Toyota Corolla,2010,13.71,93444,Diesel,Individual,Manual,0,3.16
Maruti Alto,2015,8.05,81377,CNG,Individual,Automatic,2,4.89
Toyota Corolla,2023,11.62,123040,Diesel,Dealer,Manual,0,4.23
Hyundai i20,2013,18.96,188683,CNG,Dealer,Manual,1,6.84
Hyundai i20,2007,18.89,129042,CNG,Dealer,Manual,3,5.69
Ford Figo,2008,7.09,45704,Petrol,Individual,Automatic,1,1.65
Maruti Alto,2019,13.46,39413,CNG,Dealer,Manual,0,7.99
Tata Nexon,2020,10.68,146710,Diesel,Individual,Manual,1,6.15
Hyundai i20,2023,10.11,172716,CNG,Individual,Automatic,3,6.12
Honda City,2019,7.89,113056,Diesel,Dealer,Automatic,0,2.01
Hyundai Verna,2016,7.52,145272,Petrol,Individual,Automatic,2,1.75
Hyundai Verna,2014,12.95,6892,CNG,Individual,Manual,3,7.52
Hyundai Verna,2017,6.87,192416,CNG,Individual,Automatic,1,2.48
Hyundai i20,2012,11.54,165750,CNG,Individual,Automatic,2,4.05
Tata Nexon,2010,4.89,33929,CNG,Individual,Automatic,2,2.04
Honda City,2011,8.11,44885,Petrol,Dealer,Manual,0,2.32
Hyundai Verna,2019,15.22,66029,Petrol,Dealer,Manual,3,5.57
Honda City,2014,16.25,135651,Diesel,Individual,Manual,2,3.96
Ford Figo,2006,7.16,107871,Petrol,Individual,Manual,1,2.76
Maruti Swift,2017,16.99,36971,CNG,Dealer,Automatic,3,6.02
Ford Figo,2011,10.56,29631,CNG,Dealer,Automatic,3,4.57
Toyota Corolla,2015,5.28,195902,Petrol,Dealer,Automatic,3,2.63
Honda City,2016,18.03,179770,Petrol,Dealer,Manual,3,6.78
Honda City,2013,12.73,108758,Petrol,Dealer,Manual,3,6.08
Maruti Swift,2016,15.99,70201,Petrol,Individual,Manual,2,10.43
Mahindra XUV500,2006,8.72,45348,CNG,Dealer,Manual,3,1.76
Honda City,2016,16.6,120007,CNG,Dealer,Manual,3,6.5
Honda City,2013,18.23,132219,CNG,Individual,Automatic,3,5.05
Tata Nexon,2022,8.58,196994,Diesel,Individual,Manual,0,4.99
Maruti Swift,2014,16.84,146978,Diesel,Individual,Manual,3,8.73
Tata Nexon,2016,16.08,67596,Diesel,Dealer,Automatic,1,7.51
Hyundai i20,2022,5.2,79220,Diesel,Individual,Automatic,0,1.75
Hyundai i20,2006,17.12,39019,Petrol,Dealer,Manual,0,4.66
Kia Seltos,2006,12.49,106868,CNG,Individual,Automatic,0,2.99
Maruti Swift,2007,2.73,59719,CNG,Individual,Manual,3,1.04
Ford Figo,2016,12.27,114039,Diesel,Dealer,Automatic,0,6.91
Mahindra XUV500,2007,19.03,141179,Petrol,Dealer,Manual,3,3.86
Hyundai Verna,2012,12.48,51897,CNG,Individual,Manual,2,5.63
Kia Seltos,2008,5.42,52289,CNG,Individual,Automatic,1,1.75
Hyundai Verna,2019,18.84,87615,CNG,Individual,Automatic,3,12.15
Tata Nexon,2015,13.15,152625,CNG,Dealer,Automatic,2,4.95
Ford Figo,2019,19.3,5051,CNG,Dealer,Automatic,0,10.02
Mahindra XUV500,2005,7.76,63166,Petrol,Individual,Manual,2,2.84
Honda City,2022,12.49,154844,Petrol,Dealer,Manual,3,6.03
Hyundai Verna,2013,8.92,157608,Petrol,Dealer,Automatic,2,2.12
Kia Seltos,2023,18.56,197483,Petrol,Individual,Automatic,1,10.68
Maruti Alto,2008,12.92,83746,Petrol,Individual,Manual,0,5.73
Hyundai Verna,2016,17.9,118850,Diesel,Dealer,Manual,0,9.26
Hyundai Verna,2006,7.83,15795,Diesel,Dealer,Automatic,1,1.41
Hyundai Verna,2019,15.67,155799,CNG,Dealer,Manual,3,6.31
Mahindra XUV500,2009,4.81,26638,Diesel,Dealer,Automatic,2,0.93
Kia Seltos,2018,16.04,39177,Petrol,Individual,Manual,3,7.07
Hyundai Verna,2011,12.32,197850,CNG,Dealer,Manual,0,3.46
Toyota Corolla,2015,14.48,155999,Petrol,Dealer,Automatic,3,5.49
Tata Nexon,2015,8.53,176811,Petrol,Individual,Manual,2,4.17
Maruti Swift,2009,10.21,66207,Petrol,Individual,Manual,0,2.06
Tata Nexon,2012,19.11,43712,Diesel,Dealer,Automatic,0,5.91
Kia Seltos,2005,8.31,198989,CNG,Dealer,Manual,2,2.25
Ford Figo,2009,14.66,180180,Petrol,Individual,Manual,2,3.24
Ford Figo,2011,16.31,166995,Diesel,Dealer,Automatic,0,3.38
Hyundai i20,2016,17.62,10001,Diesel,Individual,Manual,3,8.1
Tata Nexon,2015,10.98,161527,CNG,Dealer,Manual,1,4.81
Honda City,2022,18.71,10633,Petrol,Dealer,Automatic,2,10.45
Ford Figo,2005,8.57,97251,Diesel,Individual,Manual,2,2.9
Hyundai Verna,2017,18.08,12724,CNG,Individual,Manual,1,7.21
Hyundai Verna,2009,4.04,105193,CNG,Dealer,Automatic,1,1.43
Toyota Corolla,2014,18.42,91320,Diesel,Dealer,Manual,1,8.36
Kia Seltos,2009,7.91,189847,CNG,Dealer,Automatic,1,3.02
Honda City,2010,8.06,151103,CNG,Dealer,Manual,2,3.76
Toyota Corolla,2005,15.9,113538,Diesel,Individual,Automatic,2,2.67
Maruti Swift,2008,4.8,11867,CNG,Individual,Manual,1,1.09
Tata Nexon,2016,3.89,129938,Petrol,Individual,Automatic,1,2.4
Hyundai Verna,2020,4.91,55661,Petrol,Dealer,Automatic,0,3.7
Tata Nexon,2012,15.49,58171,Petrol,Dealer,Manual,3,8.13
Hyundai Verna,2015,17.67,69692,Diesel,Individual,Manual,3,9.44
Maruti Swift,2023,12.89,142686,CNG,Dealer,Manual,3,7.18
Tata Nexon,2012,11.58,108707,CNG,Dealer,Automatic,0,3.07
Maruti Swift,2017,17.98,79950,Diesel,Dealer,Automatic,2,9.49
Kia Seltos,2021,18.31,126524,CNG,Individual,Manual,0,6.8
Toyota Corolla,2022,4.87,113412,Diesel,Individual,Manual,1,2.62
Tata Nexon,2019,4.08,89954,CNG,Dealer,Manual,0,1.28
Honda City,2016,3.99,190408,Diesel,Dealer,Automatic,3,0.99
Maruti Swift,2015,12.4,177891,Petrol,Dealer,Manual,1,6.89
Toyota Corolla,2018,7.89,196407,Diesel,Individual,Manual,0,5.43
Maruti Swift,2005,13.39,71351,Petrol,Individual,Automatic,3,3.6
Kia Seltos,2020,6.66,159366,CNG,Individual,Automatic,3,3.31
Maruti Alto,2005,6.78,148482,Diesel,Dealer,Manual,1,1.13
Hyundai Verna,2006,5.04,13501,CNG,Individual,Automatic,0,0.76
Hyundai i20,2010,5.32,79548,CNG,Dealer,Automatic,2,2.65
Hyundai i20,2014,8.15,104336,Petrol,Individual,Manual,2,3.32
Mahindra XUV500,2013,8.26,113464,CNG,Dealer,Manual,0,2.02
Kia Seltos,2007,10.96,185526,CNG,Individual,Automatic,2,2.45
Kia Seltos,2016,18.72,166032,CNG,Individual,Automatic,3,11.17
Hyundai i20,2012,14.9,55739,Petrol,Dealer,Manual,3,6.44
Toyota Corolla,2011,16.49,113693,Diesel,Dealer,Automatic,2,6.4
Mahindra XUV500,2005,13.71,185883,Diesel,Individual,Manual,2,2.83
Kia Seltos,2015,15.92,34841,CNG,Individual,Automatic,3,8.54
Honda City,2005,17.06,55860,Diesel,Individual,Automatic,3,5.71
Maruti Swift,2020,5.22,125748,CNG,Individual,Automatic,3,3.94
Maruti Alto,2021,7.74,195045,CNG,Individual,Manual,1,4.55
Honda City,2016,3.66,44139,Diesel,Dealer,Automatic,3,1.88
Ford Figo,2023,13.1,54120,CNG,Dealer,Automatic,2,9.22
Honda City,2018,4.02,67296,Diesel,Individual,Automatic,1,2.03
Mahindra XUV500,2008,9.05,14802,Petrol,Dealer,Automatic,0,3.67
Hyundai i20,2009,5.83,131739,CNG,Individual,Automatic,1,2.44
Mahindra XUV500,2021,14.34,39791,Petrol,Dealer,Automatic,3,9.5
Hyundai i20,2008,2.57,16542,CNG,Dealer,Automatic,3,1.11
Ford Figo,2021,15.91,86914,Petrol,Individual,Manual,2,6.09
Hyundai i20,2013,11.81,120635,CNG,Dealer,Automatic,1,3.12
Ford Figo,2005,19.27,151702,CNG,Dealer,Manual,2,5.22
Maruti Alto,2009,19.01,79256,CNG,Dealer,Manual,0,5.09
Hyundai i20,2022,10.26,39098,Petrol,Individual,Manual,0,5.11
Toyota Corolla,2018,9.36,189727,CNG,Individual,Automatic,2,3.83
Ford Figo,2022,3.87,127079,CNG,Dealer,Manual,3,1.3
Maruti Alto,2019,10.73,63666,Petrol,Individual,Automatic,3,3.74
Honda City,2015,10.43,12933,Petrol,Individual,Manual,2,4.47
Hyundai i20,2014,15.94,163450,CNG,Dealer,Manual,3,8.82
Toyota Corolla,2015,12.23,23592,Diesel,Individual,Automatic,3,3.96
Kia Seltos,2022,5.28,131451,Diesel,Dealer,Automatic,1,3.91
Hyundai i20,2018,16.23,119125,CNG,Individual,Manual,1,9.28
Honda City,2023,17.14,34969,CNG,Individual,Automatic,0,13.19
Maruti Swift,2014,19.23,23247,CNG,Dealer,Automatic,2,8.03
Ford Figo,2007,6.31,41416,CNG,Dealer,Manual,1,1.77
Ford Figo,2017,13.27,122220,Petrol,Dealer,Automatic,2,6.73
Maruti Swift,2018,15.06,95246,Petrol,Dealer,Automatic,1,10.02
Toyota Corolla,2016,18.27,18927,Petrol,Individual,Manual,2,11.38
Mahindra XUV500,2018,14.79,108355,CNG,Individual,Automatic,3,6.41
Honda City,2011,14.09,129484,Petrol,Dealer,Automatic,2,6.91
Honda City,2014,19.96,180653,Petrol,Dealer,Manual,0,9.63
Kia Seltos,2020,14.01,40592,Petrol,Dealer,Automatic,3,10.31
Honda City,2018,13.41,124116,CNG,Individual,Automatic,3,5.64
Kia Seltos,2018,13.08,156503,Diesel,Dealer,Automatic,3,9.18
Hyundai i20,2016,3.09,14926,CNG,Individual,Automatic,0,1.52
Hyundai i20,2009,15.28,142994,Diesel,Individual,Manual,0,3.76
Mahindra XUV500,2022,16.47,86919,CNG,Dealer,Automatic,0,9.0
Kia Seltos,2020,12.54,91904,Diesel,Individual,Automatic,2,4.42
Ford Figo,2014,15.22,152772,Diesel,Dealer,Automatic,1,6.86
Ford Figo,2005,7.52,26629,Petrol,Dealer,Automatic,2,1.23
Maruti Alto,2013,17.51,8723,CNG,Dealer,Manual,1,8.16
Hyundai i20,2010,7.07,188703,Petrol,Individual,Manual,0,2.07
Honda City,2009,12.92,45409,Diesel,Individual,Automatic,1,4.95
Hyundai Verna,2011,12.61,95459,Petrol,Individual,Manual,0,3.08
Mahindra XUV500,2020,7.77,144597,Petrol,Individual,Automatic,3,3.13
Maruti Alto,2018,2.71,122655,Diesel,Individual,Manual,0,1.89
Ford Figo,2018,13.18,175935,Diesel,Individual,Automatic,2,8.44
Honda City,2023,9.35,182023,CNG,Dealer,Manual,2,6.41
Hyundai i20,2015,12.08,181370,Petrol,Dealer,Manual,3,3.16
Hyundai i20,2019,8.65,195120,Diesel,Individual,Manual,0,2.31
Honda City,2006,18.92,177125,Petrol,Dealer,Manual,0,7.08
Tata Nexon,2017,13.99,174844,CNG,Dealer,Manual,1,5.0
Ford Figo,2007,13.68,77452,Diesel,Individual,Automatic,1,5.15
Tata Nexon,2006,9.2,92203,Petrol,Individual,Automatic,1,2.39
Hyundai Verna,2011,13.18,51777,CNG,Individual,Manual,1,5.02
Kia Seltos,2011,13.24,32852,Diesel,Individual,Manual,0,2.78
Ford Figo,2013,16.1,9919,Diesel,Dealer,Manual,0,7.54
Hyundai i20,2009,14.75,107584,CNG,Dealer,Automatic,3,4.56
Ford Figo,2022,6.45,105774,CNG,Individual,Manual,2,3.03
Ford Figo,2017,3.47,174626,Petrol,Individual,Automatic,0,2.21
Maruti Alto,2011,5.59,15310,Diesel,Dealer,Automatic,3,2.86
Kia Seltos,2020,3.99,170882,Diesel,Dealer,Manual,0,1.46
Maruti Swift,2012,11.06,21513,CNG,Individual,Automatic,3,6.23
Mahindra XUV500,2006,8.44,93530,CNG,Dealer,Automatic,0,1.66
Tata Nexon,2019,18.95,145656,Petrol,Dealer,Manual,0,11.94
Maruti Swift,2005,10.75,167102,Petrol,Dealer,Manual,0,1.86
Kia Seltos,2014,16.86,30504,Diesel,Dealer,Manual,0,4.35
Kia Seltos,2012,3.6,58121,Diesel,Individual,Automatic,2,0.86
Honda City,2022,4.9,60897,Petrol,Dealer,Automatic,0,1.72
Maruti Swift,2018,5.44,101974,CNG,Dealer,Automatic,1,3.82
Hyundai i20,2009,4.25,170726,CNG,Individual,Manual,0,1.93
Toyota Corolla,2005,2.63,28367,CNG,Individual,Automatic,3,0.81
Maruti Swift,2009,13.7,142124,Diesel,Individual,Manual,1,5.02
Toyota Corolla,2010,15.05,165445,Petrol,Individual,Automatic,3,2.64
Toyota Corolla,2011,4.56,143988,Petrol,Individual,Manual,3,2.12
Maruti Swift,2013,3.43,34538,Petrol,Individual,Automatic,1,0.91
Tata Nexon,2006,13.79,79727,Petrol,Individual,Automatic,2,4.25
Hyundai i20,2006,4.33,18751,CNG,Dealer,Manual,0,1.18
Maruti Alto,2007,18.16,194111,Diesel,Individual,Automatic,1,6.66
Hyundai Verna,2012,16.13,90493,Petrol,Dealer,Manual,3,8.48
Kia Seltos,2012,3.79,158378,Diesel,Dealer,Automatic,1,1.04
Toyota Corolla,2019,5.62,102906,Petrol,Individual,Manual,2,4.23
Tata Nexon,2015,4.73,186458,CNG,Dealer,Automatic,1,1.27
Mahindra XUV500,2019,9.82,95066,Petrol,Individual,Manual,1,5.4
Hyundai Verna,2012,4.01,141778,Diesel,Dealer,Automatic,3,1.2
Maruti Swift,2012,6.84,118835,CNG,Dealer,Manual,0,2.41
Hyundai i20,2006,19.85,197276,CNG,Dealer,Automatic,3,5.37
Ford Figo,2019,11.17,26781,CNG,Dealer,Automatic,1,3.6
Kia Seltos,2012,13.83,28784,Petrol,Individual,Automatic,1,6.39
Maruti Alto,2023,2.93,124233,Diesel,Dealer,Automatic,1,2.2
Ford Figo,2019,14.82,5357,CNG,Dealer,Automatic,2,7.79
Maruti Swift,2018,15.68,187990,CNG,Dealer,Manual,2,9.53
Kia Seltos,2021,19.04,181856,Diesel,Dealer,Manual,3,9.0
Toyota Corolla,2006,8.9,50945,CNG,Dealer,Manual,1,3.64
Ford Figo,2022,4.49,130434,CNG,Dealer,Manual,2,2.16
Mahindra XUV500,2021,14.4,77651,Petrol,Dealer,Automatic,2,7.49
Hyundai i20,2021,17.02,128250,CNG,Individual,Automatic,2,12.08
Hyundai i20,2011,18.11,125028,Petrol,Dealer,Automatic,1,5.23
Mahindra XUV500,2008,5.38,34366,CNG,Dealer,Automatic,1,2.31
Maruti Swift,2005,7.63,183887,CNG,Dealer,Automatic,2,1.81
Maruti Alto,2014,5.81,10776,Petrol,Individual,Automatic,2,2.82
Ford Figo,2020,12.88,187678,CNG,Individual,Automatic,2,7.26
Ford Figo,2010,16.31,64449,Diesel,Individual,Automatic,0,3.68
